target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
C12orf42,1,1,226659,30028272,0.007548186590022139,1.0
KIAA0226L,1,1,226659,30028272,0.007548186590022139,1.0
KIAA1257,1,1,226659,30028272,0.007548186590022139,1.0
KRTAP5-7,1,1,226659,30028272,0.007548186590022139,1.0
OR8A1,1,1,226659,30028272,0.007548186590022139,1.0
PLEKHA2,1,1,226659,30028272,0.007548186590022139,1.0
PRAMEF4,1,1,226659,30028272,0.007548186590022139,1.0
SLFN12L,2,2,226659,30028272,5.697487131107581e-05,1.0
SUPT7L,1,1,226659,30028272,0.007548186590022139,1.0
TARM1,1,1,226659,30028272,0.007548186590022139,1.0
TM4SF19,1,1,226659,30028272,0.007548186590022139,1.0
TMEM244,1,1,226659,30028272,0.007548186590022139,1.0
XAGE1B,1,1,226659,30028272,0.007548186590022139,1.0
ZBTB6,1,1,226659,30028272,0.007548186590022139,1.0
ZFP62,1,1,226659,30028272,0.007548186590022139,1.0
ZNF707,1,1,226659,30028272,0.007548186590022139,1.0
HBZ,211,168,226659,30028272,2.98951992739e-312,0.7962085308056872
TCL1B,17,13,226659,30028272,5.972626305293621e-25,0.7647058823529411
MTCP1,46,34,226659,30028272,2.4963361178424677e-62,0.7391304347826086
SH2D2A,23,17,226659,30028272,8.100638560084258e-32,0.7391304347826086
CD28,9814,6610,226659,30028272,0.0,0.6735276136132057
CRTAM,52,35,226659,30028272,1.0240907831843012e-61,0.6730769230769231
BTN3A1,42,28,226659,30028272,1.8094147930280155e-49,0.6666666666666666
GIMAP2,6,4,226659,30028272,4.8104998040337045e-08,0.6666666666666666
TMIGD2,6,4,226659,30028272,4.8104998040337045e-08,0.6666666666666666
TIGIT,206,129,226659,30028272,7.315477793203606e-217,0.6262135922330098
TESPA1,8,5,226659,30028272,1.34636432802093e-09,0.625
TLX1,96,57,226659,30028272,9.704251175665608e-95,0.59375
LCK,2589,1489,226659,30028272,0.0,0.5751255310930862
TRAT1,7,4,226659,30028272,1.1156755368448056e-07,0.5714285714285714
CD160,149,85,226659,30028272,2.687582651842171e-138,0.5704697986577181
CD8B,46,26,226659,30028272,3.226744198000464e-43,0.5652173913043478
CD7,2135,1160,226659,30028272,0.0,0.5433255269320844
LYL1,78,42,226659,30028272,1.2242900126703453e-67,0.5384615384615384
GIMAP4,19,10,226659,30028272,5.21198443308607e-17,0.5263157894736842
HHLA2,19,10,226659,30028272,5.21198443308607e-17,0.5263157894736842
ZBTB7B,19,10,226659,30028272,5.21198443308607e-17,0.5263157894736842
KLRG1,253,133,226659,30028272,1.150002457939981e-208,0.525691699604743
ZAP70,593,309,226659,30028272,0.0,0.521079258010118
ICOS,1353,701,226659,30028272,0.0,0.5181079083518108
BCL11B,217,112,226659,30028272,9.379770712222279e-175,0.5161290322580645
TIA1,184,94,226659,30028272,2.2682029737259496e-146,0.5108695652173914
BTN2A2,6,3,226659,30028272,8.455870519625773e-06,0.5
C14orf101,2,1,226659,30028272,0.015039398308719708,0.5
C14orf177,2,1,226659,30028272,0.015039398308719708,0.5
C9orf152,2,1,226659,30028272,0.015039398308719708,0.5
C9orf78,2,1,226659,30028272,0.015039398308719708,0.5
CTAGE1,6,3,226659,30028272,8.455870519625773e-06,0.5
DEFA1B,2,1,226659,30028272,0.015039398308719708,0.5
ECT2L,2,1,226659,30028272,0.015039398308719708,0.5
EXOSC1,2,1,226659,30028272,0.015039398308719708,0.5
FAM133B,2,1,226659,30028272,0.015039398308719708,0.5
FAM73B,2,1,226659,30028272,0.015039398308719708,0.5
GDPD3,2,1,226659,30028272,0.015039398308719708,0.5
GPATCH4,2,1,226659,30028272,0.015039398308719708,0.5
HEMK1,2,1,226659,30028272,0.015039398308719708,0.5
IGFLR1,2,1,226659,30028272,0.015039398308719708,0.5
LARP1B,2,1,226659,30028272,0.015039398308719708,0.5
NIPAL1,2,1,226659,30028272,0.015039398308719708,0.5
NOC4L,2,1,226659,30028272,0.015039398308719708,0.5
NT5C1B,2,1,226659,30028272,0.015039398308719708,0.5
PCNXL3,2,1,226659,30028272,0.015039398308719708,0.5
PRRG2,2,1,226659,30028272,0.015039398308719708,0.5
RANBP6,2,1,226659,30028272,0.015039398308719708,0.5
RBM12B,2,1,226659,30028272,0.015039398308719708,0.5
RNF128,10,5,226659,30028272,5.982709293689555e-09,0.5
STXBP3,6,3,226659,30028272,8.455870519625773e-06,0.5
TIMD4,16,8,226659,30028272,1.2849444312562713e-13,0.5
TLX3,96,48,226659,30028272,6.140247895697528e-75,0.5
TRMT12,2,1,226659,30028272,0.015039398308719708,0.5
WAPAL,2,1,226659,30028272,0.015039398308719708,0.5
XKRX,2,1,226659,30028272,0.015039398308719708,0.5
ZNF282,2,1,226659,30028272,0.015039398308719708,0.5
ZNF334,2,1,226659,30028272,0.015039398308719708,0.5
ZNF813,2,1,226659,30028272,0.015039398308719708,0.5
CD70,576,279,226659,30028272,0.0,0.484375
BTLA,322,153,226659,30028272,1.389528992281884e-230,0.4751552795031056
ITK,693,328,226659,30028272,0.0,0.4733044733044733
CD69,4298,2009,226659,30028272,0.0,0.46742671009771986
MCTS1,13,6,226659,30028272,3.032636768907191e-10,0.46153846153846156
SLAMF6,39,18,226659,30028272,3.391117811730831e-28,0.46153846153846156
LAG3,191,88,226659,30028272,8.142683591207825e-132,0.4607329842931937
APCS,5987,2756,226659,30028272,0.0,0.4603307165525305
