target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
TMEM39B,1,1,99703,30028272,0.003320304278477048,1.0
TMED7-TICAM2,1,1,99703,30028272,0.003320304278477048,1.0
SMAD5-AS1,1,1,99703,30028272,0.003320304278477048,1.0
PCDHA2,1,1,99703,30028272,0.003320304278477048,1.0
RCSD1,6,5,99703,30028272,2.4143153594358786e-12,0.8333333333333334
BCL6,1567,1041,99703,30028272,0.0,0.6643267389917039
FCRL4,31,20,99703,30028272,2.1644484520142204e-42,0.6451612903225806
FCRL1,25,15,99703,30028272,2.079976746941187e-31,0.6
EBF1,296,171,99703,30028272,0.0,0.5777027027027027
FCRL2,15,8,99703,30028272,9.308209288390464e-17,0.5333333333333333
FCRLA,17,9,99703,30028272,1.1636806112792512e-18,0.5294117647058824
LINC00337,2,1,99703,30028272,0.0066295842466588375,0.5
THEMIS2,4,2,99703,30028272,6.585339971625897e-05,0.5
LARP1B,2,1,99703,30028272,0.0066295842466588375,0.5
MZB1,17,8,99703,30028272,3.495715971299274e-16,0.47058823529411764
FCRL5,28,13,99703,30028272,2.1292356287826376e-25,0.4642857142857143
PBXIP1,13,6,99703,30028272,2.2534984615400767e-12,0.46153846153846156
IBTK,14,6,99703,30028272,3.9324042060046855e-12,0.42857142857142855
PREB,219,93,99703,30028272,7.062121877419731e-168,0.4246575342465753
KLHL6,26,10,99703,30028272,8.237963250881927e-19,0.38461538461538464
BACH2,206,77,99703,30028272,6.663811454632263e-134,0.3737864077669903
CD180,70,26,99703,30028272,3.4373736168801586e-46,0.37142857142857144
CXCL13,1025,377,99703,30028272,0.0,0.3678048780487805
BCL10,479,171,99703,30028272,5.7752051184963406e-291,0.3569937369519833
BANK1,77,27,99703,30028272,4.390631776299064e-47,0.35064935064935066
IRF4,893,303,99703,30028272,0.0,0.3393057110862262
ZNF362,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
FCAMR,6,2,99703,30028272,0.00016390598035270857,0.3333333333333333
GTF3C2,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
GCSAM,3,1,99703,30028272,0.009927876507878436,0.3333333333333333
