target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
PRAMEF4,1,1,226659,30028272,0.007548186590022139,1.0
SLC2A1-AS1,1,1,226659,30028272,0.007548186590022139,1.0
RP11-98D18.3,1,1,226659,30028272,0.007548186590022139,1.0
AL450992.2,1,1,226659,30028272,0.007548186590022139,1.0
SUPT7L,1,1,226659,30028272,0.007548186590022139,1.0
AC009948.5,1,1,226659,30028272,0.007548186590022139,1.0
KIAA1257,1,1,226659,30028272,0.007548186590022139,1.0
TM4SF19,1,1,226659,30028272,0.007548186590022139,1.0
CTD-2256P15.2,1,1,226659,30028272,0.007548186590022139,1.0
RP11-395P13.3,1,1,226659,30028272,0.007548186590022139,1.0
ZFP62,1,1,226659,30028272,0.007548186590022139,1.0
TMEM244,1,1,226659,30028272,0.007548186590022139,1.0
SH2D2A,23,17,226659,30028272,8.100638560084258e-32,0.7391304347826086
CD28,9814,6610,226659,30028272,0.0,0.6735276136132057
TCAIM,6,4,226659,30028272,4.8104998040337045e-08,0.6666666666666666
BTN3A1,42,28,226659,30028272,1.8094147930280155e-49,0.6666666666666666
TIGIT,206,129,226659,30028272,7.315477793203606e-217,0.6262135922330098
LCK,2589,1489,226659,30028272,0.0,0.5751255310930862
TRAT1,7,4,226659,30028272,1.1156755368448056e-07,0.5714285714285714
CD160,149,85,226659,30028272,2.687582651842171e-138,0.5704697986577181
CD8B,46,26,226659,30028272,3.226744198000464e-43,0.5652173913043478
ZBTB7B,19,10,226659,30028272,5.21198443308607e-17,0.5263157894736842
HHLA2,19,10,226659,30028272,5.21198443308607e-17,0.5263157894736842
ZAP70,593,309,226659,30028272,0.0,0.521079258010118
ICOS,1353,701,226659,30028272,0.0,0.5181079083518108
TIA1,184,94,226659,30028272,2.2682029737259496e-146,0.5108695652173914
THEMIS2,4,2,226659,30028272,0.0003384185405569731,0.5
STXBP3,6,3,226659,30028272,8.455870519625773e-06,0.5
GPATCH4,2,1,226659,30028272,0.015039398308719708,0.5
COLGALT2,2,1,226659,30028272,0.015039398308719708,0.5
NT5C1B,2,1,226659,30028272,0.015039398308719708,0.5
HEMK1,2,1,226659,30028272,0.015039398308719708,0.5
NIPAL1,2,1,226659,30028272,0.015039398308719708,0.5
LARP1B,2,1,226659,30028272,0.015039398308719708,0.5
TIMD4,16,8,226659,30028272,1.2849444312562713e-13,0.5
TLX3,96,48,226659,30028272,6.140247895697528e-75,0.5
BTN2A2,6,3,226659,30028272,8.455870519625773e-06,0.5
RAB44,2,1,226659,30028272,0.015039398308719708,0.5
ECT2L,2,1,226659,30028272,0.015039398308719708,0.5
BTLA,322,153,226659,30028272,1.389528992281884e-230,0.4751552795031056
ITK,693,328,226659,30028272,0.0,0.4733044733044733
SLAMF6,39,18,226659,30028272,3.391117811730831e-28,0.46153846153846156
APCS,5987,2756,226659,30028272,0.0,0.4603307165525305
CD1B,337,152,226659,30028272,1.5491113940312153e-224,0.45103857566765576
RANBP17,16,7,226659,30028272,1.504510855811906e-11,0.4375
TNFRSF4,44,19,226659,30028272,5.616052617376277e-29,0.4318181818181818
CD80,6540,2820,226659,30028272,0.0,0.43119266055045874
BTNL8,7,3,226659,30028272,1.4714097744073384e-05,0.42857142857142855
MARCH7,12,5,226659,30028272,1.8567239096512033e-08,0.4166666666666667
FCRL6,10,4,226659,30028272,6.573640554373632e-07,0.4
BTNL3,5,2,226659,30028272,0.0005611962424240036,0.4
CTLA4,2414,964,226659,30028272,0.0,0.3993371996685998
PTCRA,33,13,226659,30028272,1.285337558639688e-19,0.3939393939393939
CD86,7611,2998,226659,30028272,0.0,0.3939035606359217
VTCN1,28,11,226659,30028272,8.646526385297685e-17,0.39285714285714285
HNRNPLL,16,6,226659,30028272,1.387968999751668e-09,0.375
CD83,2487,931,226659,30028272,0.0,0.3743466023321271
CD1D,2201,822,226659,30028272,0.0,0.37346660608814175
TAL1,590,220,226659,30028272,4.3117526205228385e-301,0.3728813559322034
BATF3,143,53,226659,30028272,1.0365403145009655e-73,0.3706293706293706
CD8A,239,87,226659,30028272,4.5559561233526424e-119,0.36401673640167365
CYTIP,11,4,226659,30028272,1.026772445911945e-06,0.36363636363636365
DUSP22,53,19,226659,30028272,4.4475966189596224e-27,0.3584905660377358
HAVCR2,14,5,226659,30028272,4.63460807189563e-08,0.35714285714285715
CD58,738,263,226659,30028272,0.0,0.35636856368563685
CCR9,509,175,226659,30028272,2.131094933663158e-232,0.343811394891945
CD1C,573,196,226659,30028272,1.559094639405487e-259,0.34205933682373474
MR1,481,163,226659,30028272,2.3004757782970843e-215,0.3388773388773389
IL2,3197,1070,226659,30028272,0.0,0.3346887707225524
TMEM56,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
MFSD4,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
AHSA2,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TMEM131,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
TBC1D8,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
OSGEPL1,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
MARCH4,3,1,226659,30028272,0.022474065209286485,0.3333333333333333
