target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
SLAMF8,13,1,1707,30028272,0.0007387517048580417,0.07692307692307693
TNFRSF4,44,2,1707,30028272,3.050370625056844e-06,0.045454545454545456
PLA2G5,28,1,1707,30028272,0.0015904797848334492,0.03571428571428571
INPP4A,29,1,1707,30028272,0.0016472358525876074,0.034482758620689655
TNFRSF25,71,2,1707,30028272,8.004682658931455e-06,0.028169014084507043
TNFRSF18,37,1,1707,30028272,0.002101168361190047,0.02702702702702703
DMAP1,37,1,1707,30028272,0.002101168361190047,0.02702702702702703
CERKL,41,1,1707,30028272,0.0023280569475652465,0.024390243902439025
FOXP4,56,1,1707,30028272,0.003178431413473234,0.017857142857142856
ICOS,1353,24,1707,30028272,1.908151638571786e-51,0.017738359201773836
XCR1,132,2,1707,30028272,2.7786294280765363e-05,0.015151515151515152
TIGIT,206,3,1707,30028272,2.610326292809505e-07,0.014563106796116505
BACH2,206,3,1707,30028272,2.610326292809505e-07,0.014563106796116505
TXK,69,1,1707,30028272,0.003914836402210725,0.014492753623188406
SEMA4A,71,1,1707,30028272,0.004028081390898942,0.014084507042253521
CD200R1,72,1,1707,30028272,0.00408469848446826,0.013888888888888888
FHL3,79,1,1707,30028272,0.004480931504664106,0.012658227848101266
CD84,82,1,1707,30028272,0.004650697775125043,0.012195121951219513
IL12A,185,2,1707,30028272,5.458888359169976e-05,0.010810810810810811
CXCL11,849,9,1707,30028272,3.519827565878565e-18,0.01060070671378092
RHOH,96,1,1707,30028272,0.005442555859666186,0.010416666666666666
CD244,193,2,1707,30028272,5.9407576444864046e-05,0.010362694300518135
CD28,9814,93,1707,30028272,6.963457571510051e-170,0.009476258406358264
BTLA,322,3,1707,30028272,9.9726795651516e-07,0.009316770186335404
CXCL9,1619,14,1707,30028272,2.9547903866866043e-26,0.008647313156269302
TNFSF4,116,1,1707,30028272,0.006572690095367459,0.008620689655172414
PDCD1,233,2,1707,30028272,8.653071085209981e-05,0.008583690987124463
CD8A,239,2,1707,30028272,9.10338032728835e-05,0.008368200836820083
CCR4,1852,15,1707,30028272,1.333672081096736e-27,0.008099352051835854
XCL1,133,1,1707,30028272,0.007532295529821234,0.007518796992481203
EOMES,424,3,1707,30028272,2.272146142223844e-06,0.007075471698113208
BATF3,143,1,1707,30028272,0.008096336393992376,0.006993006993006993
NFIA,145,1,1707,30028272,0.008209104994746865,0.006896551724137931
CD160,149,1,1707,30028272,0.008434606793210434,0.006711409395973154
CD200,608,4,1707,30028272,5.7082016143126274e-08,0.006578947368421052
CTLA4,2414,15,1707,30028272,6.98817065515554e-26,0.006213753106876553
IL15,335,2,1707,30028272,0.0001784197745458327,0.005970149253731343
ITK,693,4,1707,30028272,9.608878403725336e-08,0.005772005772005772
STAT4,1220,7,1707,30028272,1.3998704249741536e-12,0.005737704918032787
CXCL10,3871,22,1707,30028272,2.042306616397305e-36,0.005683285972616895
PTPN22,908,5,1707,30028272,2.8768283109662197e-09,0.005506607929515419
STIM2,189,1,1707,30028272,0.010686799332244883,0.005291005291005291
ZAP70,593,3,1707,30028272,6.1838951468927915e-06,0.00505902192242833
APCS,5987,27,1707,30028272,1.17425350630959e-41,0.004509771170870219
IRF4,893,4,1707,30028272,2.630602299915228e-07,0.004479283314669653
IFIH1,224,1,1707,30028272,0.012653274795365951,0.004464285714285714
IL23R,455,2,1707,30028272,0.00032790640124457813,0.004395604395604396
IL10,2933,12,1707,30028272,7.783205555069714e-19,0.004091374019774974
CCR9,509,2,1707,30028272,0.00040961734206135453,0.003929273084479371
IL7R,255,1,1707,30028272,0.014391746596300324,0.00392156862745098
IFNGR1,258,1,1707,30028272,0.014559821332507173,0.003875968992248062
IL17A,529,2,1707,30028272,0.00044213865387817677,0.003780718336483932
CD86,7611,26,1707,30028272,4.517861208328253e-37,0.003416108264354224
