target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
NEXN-AS1,2,1,54549,30028272,0.003629876163213933,0.5
BTBD8,2,1,54549,30028272,0.003629876163213933,0.5
ATP6V1E2,2,1,54549,30028272,0.003629876163213933,0.5
C3orf27,2,1,54549,30028272,0.003629876163213933,0.5
PCDHA6,2,1,54549,30028272,0.003629876163213933,0.5
CCR2,3288,1209,54549,30028272,0.0,0.3677007299270073
MEGT1,3,1,54549,30028272,0.005439870341595562,0.3333333333333333
CD83,2487,724,54549,30028272,0.0,0.291113791716928
ZNF366,11,3,54549,30028272,9.783503315515285e-07,0.2727272727272727
TMEM63A,4,1,54549,30028272,0.007246576566134347,0.25
ANKRD44,4,1,54549,30028272,0.007246576566134347,0.25
C1QTNF7,4,1,54549,30028272,0.007246576566134347,0.25
HIST1H3G,4,1,54549,30028272,0.007246576566134347,0.25
HIST1H2BO,4,1,54549,30028272,0.007246576566134347,0.25
ZC3H12A,58,14,54549,30028272,4.0051442783277804e-26,0.2413793103448276
CD14,12652,3044,54549,30028272,0.0,0.24059437243123616
BEND5,24,5,54549,30028272,8.168413147350417e-10,0.20833333333333334
IL36B,5,1,54549,30028272,0.009050000809469633,0.2
ADTRP,10,2,54549,30028272,0.00014706511334347235,0.2
CYTIP,11,2,54549,30028272,0.0001795288384572455,0.18181818181818182
CCR1,1266,221,54549,30028272,0.0,0.174565560821485
TMEM57,6,1,54549,30028272,0.010850149033392292,0.16666666666666666
PTPN7,18,3,54549,30028272,4.792479509244366e-06,0.16666666666666666
FCAMR,6,1,54549,30028272,0.010850149033392292,0.16666666666666666
CD302,12,2,54549,30028272,0.0002151740679005577,0.16666666666666666
INO80D,6,1,54549,30028272,0.010850149033392292,0.16666666666666666
MON1A,6,1,54549,30028272,0.010850149033392292,0.16666666666666666
LY6G6C,6,1,54549,30028272,0.010850149033392292,0.16666666666666666
CD1C,573,92,54549,30028272,5.5229967953606804e-145,0.16055846422338568
CX3CR1,1506,237,54549,30028272,0.0,0.15737051792828685
STAB1,39,6,54549,30028272,1.1134418434941577e-10,0.15384615384615385
CD86,7611,1133,54549,30028272,0.0,0.14886348705820523
CCBL2,7,1,54549,30028272,0.012647027188861511,0.14285714285714285
IL17RE,7,1,54549,30028272,0.012647027188861511,0.14285714285714285
BTNL8,7,1,54549,30028272,0.012647027188861511,0.14285714285714285
CD1A,3247,434,54549,30028272,0.0,0.1336618417000308
CD80,6540,818,54549,30028272,0.0,0.12507645259938838
SRSF11,8,1,54549,30028272,0.014440641216030765,0.125
CSPG5,8,1,54549,30028272,0.014440641216030765,0.125
COMMD10,8,1,54549,30028272,0.014440641216030765,0.125
TIMD4,16,2,54549,30028272,0.0003893371933418998,0.125
TREM1,80,10,54549,30028272,5.735262712378696e-16,0.125
CYTL1,25,3,54549,30028272,1.3380127329676676e-05,0.12
CCR3,1391,155,54549,30028272,6.106593310044749e-217,0.11143062544931703
MAN1A2,9,1,54549,30028272,0.016230997044257782,0.1111111111111111
HSPBAP1,9,1,54549,30028272,0.016230997044257782,0.1111111111111111
ZXDC,9,1,54549,30028272,0.016230997044257782,0.1111111111111111
HIST1H2BJ,9,1,54549,30028272,0.016230997044257782,0.1111111111111111
TREML4,9,1,54549,30028272,0.016230997044257782,0.1111111111111111
SMPDL3A,9,1,54549,30028272,0.016230997044257782,0.1111111111111111
CD1B,337,34,54549,30028272,1.991119621803318e-47,0.10089020771513353
RAPH1,10,1,54549,30028272,0.018018100592134056,0.1
PLSCR4,10,1,54549,30028272,0.018018100592134056,0.1
MAP3K13,10,1,54549,30028272,0.018018100592134056,0.1
EXOC3,10,1,54549,30028272,0.018018100592134056,0.1
CCR8,317,31,54549,30028272,5.9420856759427645e-43,0.09779179810725552
MNDA,88,8,54549,30028272,6.695609164148071e-12,0.09090909090909091
COPS8,11,1,54549,30028272,0.01980195776749872,0.09090909090909091
GK5,11,1,54549,30028272,0.01980195776749872,0.09090909090909091
PAPD4,11,1,54549,30028272,0.01980195776749872,0.09090909090909091
IGIP,11,1,54549,30028272,0.01980195776749872,0.09090909090909091
COL23A1,11,1,54549,30028272,0.01980195776749872,0.09090909090909091
DHRS9,23,2,54549,30028272,0.0008139371929682929,0.08695652173913043
HCLS1,35,3,54549,30028272,3.7560870984229875e-05,0.08571428571428572
CCR5,7891,658,54549,30028272,0.0,0.08338613610442276
MAN1C1,12,1,54549,30028272,0.021582574467457954,0.08333333333333333
VCAM1,540,45,54549,30028272,2.175564175385738e-58,0.08333333333333333
CDC42EP3,12,1,54549,30028272,0.021582574467457954,0.08333333333333333
WDR33,12,1,54549,30028272,0.021582574467457954,0.08333333333333333
SERPINB1,60,5,54549,30028272,9.939730515021626e-08,0.08333333333333333
TNFRSF18,37,3,54549,30028272,4.4469934249667764e-05,0.08108108108108109
CSF1R,532,43,54549,30028272,2.74989096561496e-55,0.08082706766917293
IFI44L,62,5,54549,30028272,1.1741422050883065e-07,0.08064516129032258
CSF1,424,34,54549,30028272,6.043170787261428e-44,0.08018867924528301
CHI3L2,25,2,54549,30028272,0.0009628143536802152,0.08
RGS18,38,3,54549,30028272,4.8216064406958994e-05,0.07894736842105263
NFKBIZ,51,4,54549,30028272,2.541573423086991e-06,0.0784313725490196
GMPS,348,27,54549,30028272,7.744283545058899e-35,0.07758620689655173
