target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
GDPD3,3,1,655,30453397,6.452343563075153e-05,0.3333333333333333
RNF128,11,1,655,30453397,0.00023656560866208685,0.09090909090909091
KDELR1,12,1,655,30453397,0.00025806880208451694,0.08333333333333333
GPR174,21,1,655,30453397,0.00045157676349537367,0.047619047619047616
CORO1A,51,2,655,30453397,5.885096218790407e-07,0.0392156862745098
NKAP,35,1,655,30453397,0.0007525148920804819,0.02857142857142857
WIPI1,44,1,655,30453397,0.000945927158896244,0.022727272727272728
VPS36,46,1,655,30453397,0.000988902777721284,0.021739130434782608
OTUB1,69,1,655,30453397,0.001482987788733008,0.014492753623188406
SHMT2,81,1,655,30453397,0.0017406744983959653,0.012345679012345678
BTNL2,107,1,655,30453397,0.0022987678500946706,0.009345794392523364
CD226,227,2,655,30453397,1.1810146167165713e-05,0.00881057268722467
CCL19,965,7,655,30453397,3.0641635043163907e-16,0.007253886010362694
NR1H3,143,1,655,30453397,0.0030709982876581574,0.006993006993006993
BATF3,147,1,655,30453397,0.0031567648376476546,0.006802721088435374
CCR8,319,2,655,30453397,2.3322114044925655e-05,0.006269592476489028
ADORA2A,163,1,655,30453397,0.0034997570704492866,0.006134969325153374
RASA1,164,1,655,30453397,0.003521190193283051,0.006097560975609756
PTK7,167,1,655,30453397,0.0035854869586596965,0.005988023952095809
UVRAG,169,1,655,30453397,0.0036283487198304166,0.005917159763313609
FOXN1,343,2,655,30453397,2.6960097744275303e-05,0.0058309037900874635
CD28,9909,56,655,30453397,2.2397189881599545e-114,0.0056514279947522455
KLF2,565,3,655,30453397,2.9348889405174675e-07,0.005309734513274336
CD27,2547,13,655,30453397,5.2608585374106365e-27,0.005104043973301924
PTPN2,200,1,655,30453397,0.004292476258319282,0.005
IL33,205,1,655,30453397,0.004399551916777836,0.004878048780487805
PMEL,211,1,655,30453397,0.00452802779969281,0.004739336492890996
BACH2,212,1,655,30453397,0.004549438630450067,0.0047169811320754715
CCL21,1121,5,655,30453397,6.497274134909904e-11,0.0044603033006244425
CCR7,3234,14,655,30453397,5.648943644716217e-28,0.004329004329004329
CD37,254,1,655,30453397,0.005448286775959252,0.003937007874015748
FOXP1,515,2,655,30453397,6.068823799457043e-05,0.003883495145631068
KLRG1,258,1,655,30453397,0.00553384971266424,0.003875968992248062
PRAME,258,1,655,30453397,0.00553384971266424,0.003875968992248062
RPS3,270,1,655,30453397,0.005790491766532566,0.003703703703703704
CSF2,271,1,655,30453397,0.005811876463447625,0.0036900369003690036
ICOS,1373,5,655,30453397,1.7857601036104733e-10,0.003641660597232338
CD86,7703,28,655,30453397,2.058178061937531e-52,0.003634947423081916
CD80,6611,23,655,30453397,7.249941170423319e-43,0.003479050068068371
TBX21,288,1,655,30453397,0.006175332702664259,0.003472222222222222
CD70,582,2,655,30453397,7.744933681130522e-05,0.003436426116838488
TGFB2,292,1,655,30453397,0.00626083282370438,0.003424657534246575
APCS,6068,19,655,30453397,8.579185166514912e-35,0.003131179960448253
CD1B,338,1,655,30453397,0.0072435527913763025,0.0029585798816568047
DAB2,349,1,655,30453397,0.007478407335075636,0.0028653295128939827
CD83,2498,7,655,30453397,2.3506915431085387e-13,0.0028022417934347476
PARG,357,1,655,30453397,0.007649176300964758,0.0028011204481792717
CD69,4338,12,655,30453397,7.432960158033254e-22,0.0027662517289073307
DUSP1,382,1,655,30453397,0.008182638273656331,0.002617801047120419
CXCR6,386,1,655,30453397,0.008267966682879381,0.0025906735751295338
FOXC2,399,1,655,30453397,0.008545230600440884,0.002506265664160401
TLR8,829,2,655,30453397,0.00015666498508462654,0.0024125452352231603
CD40,11964,28,655,30453397,4.3487106862769216e-47,0.002340354396522902
PHEX,445,1,655,30453397,0.009525694683068811,0.0022471910112359553
DLL1,446,1,655,30453397,0.009546998951688599,0.002242152466367713
FOXP3,13382,30,655,30453397,8.471935256292783e-50,0.002241817366611867
CCL18,447,1,655,30453397,0.009568301254910344,0.0022371364653243847
CD4,139660,297,655,30453397,0.0,0.002126593154804525
BCL10,487,1,655,30453397,0.01042005732852092,0.002053388090349076
APC,21280,42,655,30453397,6.520327821546135e-67,0.001973684210526316
CCR9,517,1,655,30453397,0.011058392952502152,0.0019342359767891683
LCK,2607,5,655,30453397,4.3266535015738576e-09,0.0019179133103183737
EEA1,543,1,655,30453397,0.011611285466030095,0.001841620626151013
IL17A,548,1,655,30453397,0.01171757486955033,0.0018248175182481751
NPB,561,1,655,30453397,0.011993876044584217,0.0017825311942959
MALT1,610,1,655,30453397,0.013034622808251992,0.001639344262295082
CTLA4,2483,4,655,30453397,3.2113407668306297e-07,0.0016109544905356424
CCR4,1889,3,655,30453397,1.0778052388361465e-05,0.0015881418740074113
NRP1,641,1,655,30453397,0.01369249170397021,0.0015600624024961
CCR6,1293,2,655,30453397,0.00037876759265139,0.0015467904098994587
TSLP,1298,2,655,30453397,0.00038167654228300725,0.0015408320493066256
FOXO1,3262,5,655,30453397,1.3126501564243195e-08,0.0015328019619865114
CD1A,3274,5,655,30453397,1.3367031011654068e-08,0.0015271838729383018
OSCAR,666,1,655,30453397,0.014222708784531808,0.0015015015015015015
CD5,6032,9,655,30453397,2.406347591480539e-14,0.0014920424403183023
UCHL1,671,1,655,30453397,0.014328720037509382,0.0014903129657228018
CD38,6291,9,655,30453397,3.496592651463021e-14,0.001430615164520744
ITK,712,1,655,30453397,0.015197569278554895,0.0014044943820224719
RAG2,1548,2,655,30453397,0.0005409958446212778,0.0012919896640826874
BCL6,1615,2,655,30453397,0.000588293348198996,0.001238390092879257
STAT6,2464,3,655,30453397,2.3709746123989937e-05,0.0012175324675324675
ICAM1,872,1,655,30453397,0.01858088974612489,0.0011467889908256881
TLR7,2743,3,655,30453397,3.2568345826783447e-05,0.001093693036820999
CXCR3,2761,3,655,30453397,3.320438090061388e-05,0.0010865628395508873
TEC,2770,3,655,30453397,3.3525437745508585e-05,0.0010830324909747292
CXCR5,945,1,655,30453397,0.020120675517706025,0.0010582010582010583
MLN,1894,2,655,30453397,0.0008059751572748821,0.0010559662090813093
RELB,957,1,655,30453397,0.020373559732055575,0.0010449320794148381
STAT5A,980,1,655,30453397,0.020858073543763817,0.0010204081632653062
FOXO3,1011,1,655,30453397,0.021510729505314866,0.0009891196834817012
CXCL12,4118,4,655,30453397,2.3649718955732626e-06,0.0009713453132588635
NOTCH2,1055,1,655,30453397,0.02243634181411422,0.0009478672985781991
CXCL13,1063,1,655,30453397,0.022604540451842344,0.0009407337723424271
IL4,2134,2,655,30453397,0.0010197450884515656,0.0009372071227741331
CXCR1,1074,1,655,30453397,0.022835765015919895,0.000931098696461825
JAK1,2254,2,655,30453397,0.0011357411611584258,0.0008873114463176575
MOG,2258,2,655,30453397,0.001139711826797582,0.0008857395925597874
HDAC3,1131,1,655,30453397,0.024033065770315998,0.0008841732979664014
DDC,2360,2,655,30453397,0.0012432224346576842,0.000847457627118644
CD55,1230,1,655,30453397,0.02610910260652217,0.0008130081300813008
STAT4,1241,1,655,30453397,0.026339499876025643,0.0008058017727639
NOTCH3,1286,1,655,30453397,0.027281471547821696,0.0007776049766718507
CCR1,1287,1,655,30453397,0.027302394532981247,0.000777000777000777
SOCS1,1287,1,655,30453397,0.027302394532981247,0.000777000777000777
PLN,1317,1,655,30453397,0.027929856390292208,0.0007593014426727411
CCR5,7962,6,655,30453397,2.9553879723929737e-08,0.0007535795026375283
CD46,1361,1,655,30453397,0.028849405891214038,0.0007347538574577516
CXCR4,11052,8,655,30453397,1.961730154611562e-10,0.0007238508867173362
FYN,2801,2,655,30453397,0.0017404222123791459,0.0007140307033202428
CCR3,1402,1,655,30453397,0.02970547724466257,0.0007132667617689016
CD44,14109,10,655,30453397,1.2944919428980355e-12,0.00070876745339854
CCL20,1425,1,655,30453397,0.030185376049026078,0.0007017543859649122
T,940009,655,655,30453397,0.0,0.0006968018391313275
LTB,1580,1,655,30453397,0.03341334331173041,0.0006329113924050633
NOS2,1605,1,655,30453397,0.03393297267580127,0.0006230529595015577
TSC1,1674,1,655,30453397,0.035365720005678364,0.0005973715651135006
CXCL9,1675,1,655,30453397,0.035386460663268414,0.0005970149253731343
CCR2,3351,2,655,30453397,0.0024717626087098024,0.000596836765144733
NFATC1,1676,1,655,30453397,0.035407208965955214,0.0005966587112171838
CD9,1685,1,655,30453397,0.03559392691040705,0.0005934718100890207
GATA3,1812,1,655,30453397,0.038224830649153545,0.0005518763796909492
HLA-A,9249,5,655,30453397,2.167494331159846e-06,0.0005405989836739107
MSN,1866,1,655,30453397,0.039341317983231996,0.0005359056806002144
DR1,1934,1,655,30453397,0.04074541301401761,0.000517063081695967
SPARC,1952,1,655,30453397,0.04111674597697146,0.0005122950819672131
CD19,9825,5,655,30453397,2.9023228808916607e-06,0.0005089058524173028
TRAF6,1972,1,655,30453397,0.04152916543363905,0.0005070993914807302
SCT,7966,4,655,30453397,3.1037565146521325e-05,0.0005021340697966357
CDK6,2030,1,655,30453397,0.04272418609785751,0.0004926108374384236
SOCS3,2093,1,655,30453397,0.04402053170061132,0.00047778308647873863
CD14,12791,6,655,30453397,4.6564017084087334e-07,0.00046907982174966773
BTK,2134,1,655,30453397,0.04486325628066621,0.00046860356138706655
CD7,2152,1,655,30453397,0.04523298927496704,0.00046468401486988845
TH,42107,19,655,30453397,4.1535062356237655e-19,0.0004512313867052984
CD1D,2226,1,655,30453397,0.046751530036724775,0.0004492362982929021
