target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
C12orf60,1,1,99703,30028272,0.003320304278477048,1.0
C14orf43,1,1,99703,30028272,0.003320304278477048,1.0
C7orf60,1,1,99703,30028272,0.003320304278477048,1.0
CACFD1,1,1,99703,30028272,0.003320304278477048,1.0
FAM55A,1,1,99703,30028272,0.003320304278477048,1.0
FAM55B,1,1,99703,30028272,0.003320304278477048,1.0
KIAA0226L,1,1,99703,30028272,0.003320304278477048,1.0
KIAA1467,1,1,99703,30028272,0.003320304278477048,1.0
PCDHA2,1,1,99703,30028272,0.003320304278477048,1.0
TIMM21,1,1,99703,30028272,0.003320304278477048,1.0
TMED7-TICAM2,1,1,99703,30028272,0.003320304278477048,1.0
TMEM39B,1,1,99703,30028272,0.003320304278477048,1.0
VPREB3,12,12,99703,30028272,1.794105906463406e-30,1.0
ZNF688,1,1,99703,30028272,0.003320304278477048,1.0
VPREB1,42,36,99703,30028272,2.9583554019229655e-83,0.8571428571428571
RCSD1,6,5,99703,30028272,2.4143153594358786e-12,0.8333333333333334
BLNK,198,163,99703,30028272,0.0,0.8232323232323232
MUM1,484,378,99703,30028272,0.0,0.78099173553719
C20orf112,4,3,99703,30028272,1.4604873964072036e-07,0.75
CD79B,320,223,99703,30028272,0.0,0.696875
ARID3C,3,2,99703,30028272,3.299972422794334e-05,0.6666666666666666
P2RY8,45,30,99703,30028272,1.4129961663831278e-63,0.6666666666666666
BCL6,1567,1041,99703,30028272,0.0,0.6643267389917039
FCRL4,31,20,99703,30028272,2.1644484520142204e-42,0.6451612903225806
GCET2,11,7,99703,30028272,1.4508227553721947e-15,0.6363636363636364
PAX5,1014,634,99703,30028272,0.0,0.6252465483234714
FCRL1,25,15,99703,30028272,2.079976746941187e-31,0.6
GIMAP8,5,3,99703,30028272,3.6421279093160825e-07,0.6
CD72,228,134,99703,30028272,3.1397721812471816e-267,0.5877192982456141
EBF1,296,171,99703,30028272,0.0,0.5777027027027027
CRLF2,131,75,99703,30028272,4.764488168065884e-149,0.5725190839694656
CD79A,1096,627,99703,30028272,0.0,0.5720802919708029
CD22,1928,1064,99703,30028272,0.0,0.5518672199170125
TNFRSF13C,35,19,99703,30028272,3.077573166815696e-38,0.5428571428571428
FCRL2,15,8,99703,30028272,9.308209288390464e-17,0.5333333333333333
FCRLA,17,9,99703,30028272,1.1636806112792512e-18,0.5294117647058824
POU2AF1,40,21,99703,30028272,1.0860340242063996e-41,0.525
CARD11,196,101,99703,30028272,1.580353446459015e-193,0.5153061224489796
ANKRD5,2,1,99703,30028272,0.0066295842466588375,0.5
ASB13,2,1,99703,30028272,0.0066295842466588375,0.5
C14orf101,2,1,99703,30028272,0.0066295842466588375,0.5
C15orf24,2,1,99703,30028272,0.0066295842466588375,0.5
C16orf59,2,1,99703,30028272,0.0066295842466588375,0.5
CXorf57,2,1,99703,30028272,0.0066295842466588375,0.5
EXOSC1,2,1,99703,30028272,0.0066295842466588375,0.5
GDPD3,2,1,99703,30028272,0.0066295842466588375,0.5
HNRNPH3,2,1,99703,30028272,0.0066295842466588375,0.5
ITFG2,2,1,99703,30028272,0.0066295842466588375,0.5
LARP1B,2,1,99703,30028272,0.0066295842466588375,0.5
LDOC1L,2,1,99703,30028272,0.0066295842466588375,0.5
PCNXL3,2,1,99703,30028272,0.0066295842466588375,0.5
PDZD4,2,1,99703,30028272,0.0066295842466588375,0.5
RANBP6,2,1,99703,30028272,0.0066295842466588375,0.5
TMEM209,2,1,99703,30028272,0.0066295842466588375,0.5
TMEM31,2,1,99703,30028272,0.0066295842466588375,0.5
XKRX,2,1,99703,30028272,0.0066295842466588375,0.5
ZNF256,2,1,99703,30028272,0.0066295842466588375,0.5
ZNF615,2,1,99703,30028272,0.0066295842466588375,0.5
ZNF768,2,1,99703,30028272,0.0066295842466588375,0.5
CD37,252,120,99703,30028272,5.73076969386972e-224,0.47619047619047616
DLEU7,19,9,99703,30028272,4.3956067526438135e-18,0.47368421052631576
MZB1,17,8,99703,30028272,3.495715971299274e-16,0.47058823529411764
IGLL1,30,14,99703,30028272,2.7363114207820403e-27,0.4666666666666667
FCRL5,28,13,99703,30028272,2.1292356287826376e-25,0.4642857142857143
PBXIP1,13,6,99703,30028272,2.2534984615400767e-12,0.46153846153846156
AICDA,153,70,99703,30028272,9.588561614948635e-130,0.45751633986928103
MS4A1,43,19,99703,30028272,5.9164841636521404e-36,0.4418604651162791
BTK,2064,898,99703,30028272,0.0,0.43507751937984496
CXCR5,914,392,99703,30028272,0.0,0.4288840262582057
