target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
CLEC1A,1,1,4914,30028272,0.000163645780217682,1.0
SLC22A31,1,1,4914,30028272,0.000163645780217682,1.0
CELF5,2,1,4914,30028272,0.0003272647859428087,0.5
CLEC2B,3,1,4914,30028272,0.0004908570215551458,0.3333333333333333
MIS18A,4,1,4914,30028272,0.0006544224914337,0.25
KBTBD2,5,1,4914,30028272,0.0008179611999568226,0.2
RASL10B,5,1,4914,30028272,0.0008179611999568226,0.2
KRTAP11-1,6,1,4914,30028272,0.0009814731515020909,0.16666666666666666
MAPKBP1,6,1,4914,30028272,0.0009814731515020909,0.16666666666666666
CTSW,7,1,4914,30028272,0.0011449583504463702,0.14285714285714285
DNAJC17,7,1,4914,30028272,0.0011449583504463702,0.14285714285714285
NCCRP1,7,1,4914,30028272,0.0011449583504463702,0.14285714285714285
PRAM1,7,1,4914,30028272,0.0011449583504463702,0.14285714285714285
GZMM,8,1,4914,30028272,0.0013084168011658784,0.125
SRSF11,8,1,4914,30028272,0.0013084168011658784,0.125
ACSBG2,9,1,4914,30028272,0.001471848508036026,0.1111111111111111
C7orf10,9,1,4914,30028272,0.001471848508036026,0.1111111111111111
CLEC12B,9,1,4914,30028272,0.001471848508036026,0.1111111111111111
DDX24,9,1,4914,30028272,0.001471848508036026,0.1111111111111111
SH2D4A,9,1,4914,30028272,0.001471848508036026,0.1111111111111111
CHURC1,10,1,4914,30028272,0.0016352534754315643,0.1
CLEC1B,10,1,4914,30028272,0.0016352534754315643,0.1
NKG7,21,2,4914,30028272,5.611006152944181e-06,0.09523809523809523
FGFBP2,11,1,4914,30028272,0.0017986317077265726,0.09090909090909091
HIST2H2BE,11,1,4914,30028272,0.0017986317077265726,0.09090909090909091
MARC2,11,1,4914,30028272,0.0017986317077265726,0.09090909090909091
IFNE,12,1,4914,30028272,0.0019619832092942486,0.08333333333333333
IFNK,12,1,4914,30028272,0.0019619832092942486,0.08333333333333333
IL20RA,12,1,4914,30028272,0.0019619832092942486,0.08333333333333333
JAGN1,12,1,4914,30028272,0.0019619832092942486,0.08333333333333333
